"Do you identify more as: An Event Strategist (involved in high-level planning, creative and decision making) or An Event Deliverer (focused on logistics and execution)",What best describes your job role?,Who is responsible for setting the event budget?,Who is responsible for tracking the commercial follow-up of events in your organisation?,How much advance notice do your stakeholders provide when organising events?,Do you receive feedback or data on the commercial outcomes of your events?,"In your opinion, rank what event trends will shape the future of the events industry",Are you currently using AI in your event planning and management processes?,"On average, what notice are you given to plan your stakeholder events?",How comfortable are you with the current use of AI and technology in the events industry?,Does your team include someone who occupies the role of event technologist?,Please rank how important the following are when choosing a new job role.,What area of the company does your job sit? (Select one),Which age group do you belong to?,What is your highest level of education?,"Do you see the number increasing, decreasing or staying the same over next 12 months",How many events does your team organise per year?,"On average, what is the cost per day for event freelancers",How likely are you to recommend ICE to a friend or colleague?
An Event Strategist,Director/Head of Events/Leader,Event team,Marketing Team,2-3 Months,No,"Greater emphasis on attendee experience,Greater focus on sustainability,Hybrid event formats,Enhanced data analytics for decision making,Increased use of AI and technology",No,,,I don’t know,"Salary/compensation,Company culture,Work life balance,Working from home,Holiday allowance,Career growth/compensation",Marketing & Communications,35-44,Bachelor's degree,Increasing,60-100,£600-£800,1
An Event Deliverer,Senior Manager,Stakeholder,Sales Team,,"Yes, regularly","Increased use of AI and technology,Greater emphasis on attendee experience,Hybrid event formats,Enhanced data analytics for decision making,Greater focus on sustainability",Yes,,Somewhat comfortable,Someone else in my team has the role of event technologist,"Salary/compensation,Company culture,Working from home,Work life balance,Career growth/compensation,Holiday allowance",Sales,35-44,Bachelor's degree,Increasing,60-100,£150-250,10
Both,Director/Head of Events/Leader,Event team,Sales Team,1-2 Months,"Yes, occasionally",,Yes,,Neutral,Someone else in my team has the role of event technologist,"Salary/compensation,Working from home,Holiday allowance,Work life balance,Company culture,Career growth/compensation",Sales & Marketing,35-44,Bachelor's degree,Staying the same,1-30,£600-£800,9
An Event Strategist,Manager,,,,,"Greater focus on sustainability,Greater emphasis on attendee experience,Increased use of AI and technology,Enhanced data analytics for decision making,Hybrid event formats",Yes,,Somewhat comfortable,Someone else in my team has the role of event technologist,"Company culture,Salary/compensation,Working from home,Work life balance,Career growth/compensation,Holiday allowance",Procurement,55-64,Bachelor's degree,,100,Don’t know,5
An Event Strategist,Director/Head of Events/Leader,Stakeholder,Marketing Team,2-3 Months,"Yes, regularly","Increased use of AI and technology,Greater focus on sustainability,Greater emphasis on attendee experience,Enhanced data analytics for decision making,Hybrid event formats",Considering it,3-6month,Somewhat comfortable,We have no intention of hiring an event technologist,"Work life balance,Salary/compensation,Company culture,Career growth/compensation,Working from home,Holiday allowance",Sales & Marketing,45-54,Senior school diploma or equivalent,Increasing,30-60,£400-600,10
Both,Junior/Entry Level,,,,,"Enhanced data analytics for decision making,Greater focus on sustainability,Increased use of AI and technology,Greater emphasis on attendee experience,Hybrid event formats",Yes,,Very comfortable,Someone else in my team has the role of event technologist,"Work life balance,Company culture,Salary/compensation,Holiday allowance,Working from home,Career growth/compensation",Sales & Marketing,Under 25,Senior school diploma or equivalent,Staying the same,1-30,Don’t know,10
Both,Director/Head of Events/Leader,Stakeholder,Marketing Team,4-6 months,"Yes, regularly","Hybrid event formats,Greater emphasis on attendee experience,Enhanced data analytics for decision making,Increased use of AI and technology,Greater focus on sustainability",Considering it,6 months,Neutral,We have no intention of hiring an event technologist,"Company culture,Salary/compensation,Working from home,Career growth/compensation,Work life balance,Holiday allowance",Marketing & Communications,35-44,Master's degree,Staying the same,1-30,Don’t know,8
An Event Strategist,Director/Head of Events/Leader,Global Team,Sales & Marketing,2-3 Months,"Yes, regularly","Increased use of AI and technology,Greater emphasis on attendee experience,Enhanced data analytics for decision making,Greater focus on sustainability,Hybrid event formats",Yes,,Somewhat comfortable,I consider myself to be an event technologist,"Salary/compensation,Company culture,Working from home,Career growth/compensation,Work life balance,Holiday allowance",Marketing & Communications,45-54,Bachelor's degree,Staying the same,60-100,Don’t know,10
Both,Director/Head of Events/Leader,Event team,Sales Team,6-12 months,"Yes, regularly","Increased use of AI and technology,Greater emphasis on attendee experience,Enhanced data analytics for decision making,Greater focus on sustainability,Hybrid event formats",Yes,,Somewhat comfortable,Someone else in my team has the role of event technologist,"Work life balance,Salary/compensation,Working from home,Company culture,Career growth/compensation,Holiday allowance",Marketing & Communications,35-44,Senior school diploma or equivalent,,1-30,£150-250,8
Both,Director/Head of Events/Leader,Stakeholder,Marketing Team,4-6 months,"Yes, occasionally","Greater emphasis on attendee experience,Hybrid event formats,Enhanced data analytics for decision making,Increased use of AI and technology,Greater focus on sustainability",Considering it,6 months,Neutral,We have no intention of hiring an event technologist,"Salary/compensation,Company culture,Work life balance,Career growth/compensation,Working from home,Holiday allowance",Marketing & Communications,45-54,Bachelor's degree,Increasing,30-60,£251-£400,9
